cited_by_fbwalls_count,cited_by_feeds_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_rdts_count,cited_by_tweeters_count,cited_by_videos_count,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,altmetric_id
2,12,0,88,172,0,38,4,"['994853', '1', '4155389', '16794']","['38039', '0', '63260', '59']","['784', '0', '7681', '17']","['0', '0', '0', '0']","['901', '0', '11778', '21']",114264
1,22,9,32,112,0,30,4,"['468447', '206307', '7353', '235135']","['33934', '9107', '476', '420']","['223', '190', '3', '17']","['0', '0', '0', '0']","['2260', '1291', '94', '81']",114551
2,0,0,4,59,0,44,4,"['19', '99', '171', '3372']","['1', '3', '4', '82']","['0', '1', '0', '0']","['0', '0', '0', '0']","['0', '10', '0', '42']",1150172
3,6,0,23,80,0,34,4,"['150504', '203', '30', '988']","['10900', '13', '0', '21']","['132', '0', '0', '0']","['0', '0', '0', '0']","['2592', '3', '0', '2']",1150482
0,1,0,1,10,0,3,3,"[0, '391', '10369', '10284']","[0, '18', '852', '176']","[0, '1', '8', '1']","[0, '0', '0', '0']","[0, '10', '51', '26']",1154910
0,0,0,0,5,0,0,3,"['5896', '319097', '10879421', '11505074']","['130', '7652', '167067', '264539']","['4', '131', '3663', '4323']","['0', '0', '0', '0']","['9', '314', '10707', '26682']",11555515
5,1,0,0,23,0,9,4,"['1009', 0, '2069251', '137']","['82', 0, '35474', 0]","['10', 0, '1282', 0]","['0', 0, '0', '0']","['31', 0, '3783', '2']",115779
12,0,0,0,25,0,6,2,"['9905', '4518', 0, 0]","['128', '76', 0, 0]","['6', '4', 0, 0]","['0', '0', 0, 0]","['37', '34', 0, 0]",1160241
0,8,0,1,57,0,21,4,"['22', '3488', '880', '5760']","['0', '231', '31', '25']","['0', '32', '0', '1']","['0', '0', '0', '0']","['0', '92', '3', '28']",116131
0,1,0,0,6,0,1,1,[],[],[],[],[],116364
2,1,0,1,11,0,3,4,"['3736', '633', '172418', '498']","['276', '33', '5818', '9']","['8', '3', '786', '4']","['0', '0', '0', '0']","['45', '2', '1202', '5']",11675113
1,6,3,13,71,0,37,4,"['25426', '483357', '11268', '5409381']","['2069', '10532', '154', '55482']","['63', '216', '12', '1189']","['0', '0', '0', '0']","['619', '832', '38', '13512']",117175
