Altmetrics_Id,youtube_links,viewCount,likeCount,dislikeCount,commentCount,cited_by_fbwalls_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_tweeters_count,cited_by_videos_count,cited_by_wikipedia_count,cited_by_accounts_count,title,doi
13890840,https://www.youtube.com/watch?v=EoTAEhTz8jI,3,1,0,0,264,7,117,1915,758,52,8,1215,Position of the Academy of Nutrition and Dietetics: Vegetarian Diets,10.1016/j.jand.2016.09.025
25275782,https://www.youtube.com/watch?v=yNb370Iq5yg,1,0,0,0,13,1,25,978,681,4,0,742,Potential role of intratumor bacteria in mediating tumor resistance to the chemotherapeutic drug gemcitabine,10.1126/science.aah5043
25274699,https://www.youtube.com/watch?v=yNb370Iq5yg,1,0,0,0,5,2,1,373,191,3,0,207,Use of CRISPR-modified human stem cell organoids to study the origin of mutational signatures in cancer,10.1126/science.aao3130
25269169,https://www.youtube.com/watch?v=yNb370Iq5yg,1,0,0,0,1,0,1,239,78,3,0,83,Mitochondrial Priming by CD28,10.1016/j.cell.2017.08.018
174529,https://www.youtube.com/watch?v=Q8OLM9kh4uI,4073,262,8,5,299,40,68,2344,1102,121,4,1694,Meta-analysis of prospective cohort studies evaluating the association of saturated fat with cardiovascular disease,10.3945/ajcn.2009.27725
12226158,https://www.youtube.com/watch?v=2EDf6O_p0ZA,0,0,0,0,0,6,1,151,6,1,0,14,17 Proven Currency Trading Strategies,10.1002/9781119198994
1515718,https://www.youtube.com/watch?v=h_sIN3EBo4A,477,22,0,3,3,5,1,154,27,19,0,56,Is heme iron intake associated with risk of coronary heart disease? A meta-analysis of prospective studies,10.1007/s00394-013-0535-5
57121195,https://www.youtube.com/watch?v=vsnn7qllOSg,93,4,0,0,0,0,0,112,0,1,0,1,We will solve the problem. An interview with Population and Family Welfare Minister Prof. Maher Mahran.,0
57121182,https://www.youtube.com/watch?v=vsnn7qllOSg,93,4,0,0,0,0,0,112,0,1,0,1,The use of television series in health education,10.1093/her/10.2.225
57121170,https://www.youtube.com/watch?v=vsnn7qllOSg,93,4,0,0,0,0,0,112,0,1,0,1,Conference Report: Carry on up the Nile: the BMA in Cairo,10.1136/bmj.291.6504.1247
1204316,https://www.youtube.com/watch?v=ir2xV8iX38k,247694,8916,177,393,289,16,28,1275,579,87,2,1026,Nutrient timing revisited: is there a post-exercise anabolic window?,10.1186/1550-2783-10-5
3031939,https://www.youtube.com/watch?v=GxiDNGKZZno,114,3,0,2,4,1,1,173,33,40,0,82,Relation Between Progression and Regression of Atherosclerotic Left Main Coronary Artery Disease and Serum Cholesterol Levels as Assessed With Serial Long-Term (≥12 Months) Follow-Up Intravascular Ultrasound,10.1161/01.cir.0000103664.47406.49
