youtube_ids,status
6H_yTawG5Wk,U
YzAfM7Y90Tg,A
ds1bwERepDU,A
kRaNc3i1ErU,A
XYaDjWhrMtY,A
nJEIo16cQeY,A
FyOQdwDiPFY,U
dKXVRqvRGPg,A
7QH5XzKW704,A
JRoc1RgUm-U,A
nY2rqJnL9vs,A
m1bZxkX82Oo,A
NMq_vHjHF00,A
rvGfkBaj0XI,U
K8iioFqGN08,A
Tv4Bqu4Um9Q,U
RbGw8ntJIBc,A
D4_0Khx-0LY,A
o9RnbEpuPlk,A
Jme6yi94ID4,A
11AFc_Zt1Ns,A
TVF0TtIszvo,U
eeNW4go1pzE,A
bQ1NXlVjhtk,A
SO_5oZQrwYY,U
2LksfhjXAlA,A
WgnPdhSgJhg,U
zAx4rDUz_C4,A
feQUwJzhocw,A
ctvmjDSdd3o,U
eyGh5NwX-HE,A
uIcl6aZO1yY,A
3sVBJe4RIhA,A
qPnC_xM4bEs,A
J3l2lkWZK0U,A
z4QpomKYfgQ,A
3_gN-OTwiXQ,A
2FkiC7qbKoo,A
50XtR8QAWxM,A
Roa6IIDgIKA,U
zoPSWp-8InE,A
TcgzSlvDx8s,U
hTL45H0UGnk,U
B0JuA2WOflY,A
F14phq7db9A,A
7HKV2X00JOY,U
9YxIwIRMOjg,U
WeMEfnfG5dI,A
mkUgsDKVoPc,A
Y0i8wsxdcNU,A
6q7g9GkWlLc,A
g59n6gcwCY8,A
dD2vTmI-wok,A
gweROlp5ayE,A
IqdYE8KxMVQ,A
bORiDKVPiyM,A
P_-z_cSayow,A
G03fChIu2jY,A
LAWmIYZl1SE,A
KoeXZwS_EkU,A
oKYZrpCRBYI,A
GJ8FrjyWBVM,A
FqWOjHk0kQU,A
n1Dr7E5Wwyo,A
IxRF8d6tKpE,A
_I2iznfbLvY,A
gsUnw_FnM8M,U
4LT0Rr8dRMU,A
uvQy5MLV3yo,U
llhEuJlZz68,A
c9BIssu-vvE,A
vIyKyYpjAFs,U
72aJQv1Dx2A,A
yaaqg8SqBZ0,A
9WtlYNzAT8g,U
UcV24Uu8Sr4,A
Dd-8FcktYeU,A
LG9F2cVt8wM,A
sIPaTfDwB-4,A
eWzLa6yALTA,U
jQ8AQx8R424,A
PasspM7pOm0,A
plvcErIKEyU,A
dKWiD8lqy9A,A
eGy5GashEdA,A
nvFeW7lOX5M,A
3gtqidAjoAA,U
Tm8eogMo2TQ,A
de-uOsvbFRc,A
qL0_lGKiOsM,A
_w8sEH7wRKM,A
QzmnsFBJjvw,A
C75etUoNJ8Y,A
Lskd_GWzYWE,U
SnVeT4R7j3A,A
Jo9N9J8tBVw,A
OLuOkOsCPDI,A
ScGabpimYmw,A
msdeYXjaCoI,A
R97WL1kNJQI,A
TqSS9PZxOWQ,A
2GG0NMIMFvA,U
rGsxy9Ph5Jo,A
gTdesYYVQJM,U
IvxSEoEwqVg,A
TmoVD86tkl0,A
fGXZcP9F55s,U
rpEyXJVIo1s,U
4VgbOejmQSw,U
g3Pob78iAes,A
1tm1AfhzVAM,A
Y2d1EDiz4WY,U
_LMYp6gJBpI,U
6_BqWvIG-ew,U
336tspm_tU0,A
